Question,Answer
What is the capital of France?,Paris
Name the first president of the United States,George Washington
"List the primary colors","red, blue, yellow"
What is 2 + 2?,4
Who wrote Romeo and Juliet?,William Shakespeare
What is the largest planet in our solar system?,Jupiter
What is the boiling point of water in Celsius?,100
"Name the continents","Africa, Antarctica, Asia, Australia, Europe, North America, South America"
What year did World War II end?,1945
What is the speed of light in meters per second?,299792458
Who painted the Mona Lisa?,Leonardo da Vinci
What is the chemical symbol for gold?,Au
How many days are in a leap year?,366
What is the smallest prime number?,2
Who developed the theory of relativity?,Albert Einstein
What is the capital of Japan?,Tokyo
"Name the planets in our solar system","Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune"
What is the square root of 144?,12
Who wrote Pride and Prejudice?,Jane Austen
What is the longest river in the world?,Nile
What is the freezing point of water in Fahrenheit?,32
How many bones are in the human body?,206
What is the currency of the United Kingdom?,Pound Sterling
Who invented the telephone?,Alexander Graham Bell
What is the tallest mountain in the world?,Mount Everest
